timestamp,left_encoder_count,left_encoder_speed,right_encoder_count,right_encoder_speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,imu_temp,mag_x,mag_y,mag_z,heading
2025-03-02T11:38:31.398,31758,0,17530,0,-1.963,0.12,10.235,-0.281,0.128,0.506,26.4,4472,10487,-5562,66.9
2025-03-02T11:38:31.403,31758,0,17530,0,-1.985,0.105,10.276,-0.281,0.133,0.499,26.4,4477,10507,-5537,66.9
2025-03-02T11:38:31.420,31758,0,17530,0,-1.961,0.077,10.242,-0.281,0.137,0.504,26.4,4510,10520,-5552,66.8
2025-03-02T11:38:31.430,31758,0,17530,0,-1.946,0.139,10.262,-0.284,0.133,0.5,26.6,4482,10492,-5542,66.9
2025-03-02T11:38:31.593,31758,0,17530,0,-1.975,0.096,10.274,-0.279,0.132,0.504,26.3,4500,10502,-5562,66.8
2025-03-02T11:38:31.797,31758,0,17530,0,-1.949,0.108,10.309,-0.278,0.135,0.506,26.2,4482,10507,-5587,66.9
2025-03-02T11:38:31.805,31758,0,17530,0,-1.973,0.09799999,10.266,-0.281,0.132,0.505,26.3,4515,10487,-5505,66.7
2025-03-02T11:38:31.834,31758,0,17530,0,-1.98,0.12,10.29,-0.283,0.137,0.504,26.4,4467,10487,-5542,66.9
2025-03-02T11:38:31.888,31758,0,17530,0,-1.966,0.081,10.331,-0.276,0.135,0.505,26.4,4495,10497,-5520,66.8
2025-03-02T11:38:31.942,31758,0,17530,0,-1.942,0.117,10.312,-0.284,0.137,0.506,26.5,4510,10520,-5532,66.8
2025-03-02T11:38:32.047,31766,0,17530,0,-2.344,0.153,10.348,-0.307,0.168,0.472,26.3,4065,10497,-6372,68.8
2025-03-02T11:38:32.151,31909,1360,17666,1320,-1.525,1.116,10.422,-0.339,0.093,0.647,26.2,3745,11052,-6077,71.3
2025-03-02T11:38:32.368,32276,1800,18024,1730,-1.19,0.335,10.211,0.12,0.272,0.449,26.6,4355,10642,-6005,67.7
